Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	tree_length
0	-3772.84	-3919.145	146.3045	0.225091	0.420718	0.579281	0.774909	2.275207	0.267653	0.0763658	0.0826383	0.0621534	0.0666568	0.0158716	0.0196436	0.0243789	0.0794095	0.129075	0.033185	0.0797653	0.0436945	0.000839018	0.0981342	0.0682068	0.126215	0.0978139	0.171858	0.0302	0.130359	0.133609	0.0616312	0.0152728	0.0117375	0.0362957	0.0496925	0.013003	0.0799835	0.0318637	0.04849	0.0217971	0.0844698	0.0752486	0.0670095	0.0217249	0.0733329	0.248307	0.0232853	0.00308422	0.00563958	0.0100486	0.037158	0.000730953	0.0079943	0.0196276	0.0500257	0.0552012	0.0735427	0.0197388	0.00947002	0.0655146	0.028857	0.0423573	0.0516199	0.0689049	0.281292	0.0884912	0.0646727	0.0387523	0.0287571	0.0780926	0.0745064	0.101788	0.337474	0.0313944	0.000530298	0.0350895	0.0373084	0.0315313	0.060437	0.0834719	0.0148395	0.0233734	0.00304412	0.0545819	0.159392	0.16635	0.000696835	0.057983	0.0293732	0.0800031	0.0150453	0.0408793	0.138	0.0166478	0.0229667	0.0172379	0.0253662	0.264095	0.264919	0.115753	0.355233	0.223389	0.481433	0.79608	1.25615	2.07713	4.4765	1.083765	0.0478827	0.0136617	0.0147839	0.0111192	0.0119248	0.00283941	0.00351421	0.00436136	0.0142063	0.0230914	0.00593676	0.0142699	0.0078169	0.000150099	0.0175561	0.0122021	0.0225796	0.0174988	0.0307452	0.00540275	0.023321	0.0239024	0.0110257	0.00273229	0.00209982	0.00649326	0.00888992	0.00232622	0.014309	0.00570038	0.0086748	0.00389947	0.0151115	0.0134619	0.0119879	0.00388656	0.0131192	0.0444218	0.00416571	0.000551764	0.00100891	0.00179768	0.00664752	0.000130767	0.00143017	0.00351135	0.00894954	0.00987543	0.0131567	0.00353124	0.00169418	0.0117205	0.00516247	0.00757766	0.00923474	0.012327	0.0503227	0.015831	0.0115699	0.00693273	0.00514461	0.0139707	0.0133291	0.0182097	0.0603736	0.00561641	9.48696e-05	0.00627747	0.00667442	0.00564092	0.0108121	0.014933	0.00265478	0.00418147	0.000544589	0.00976464	0.0285151	0.0297598	0.000124663	0.0103731	0.00525484	0.0143125	0.00269158	0.00731325	0.0246881	0.00297827	0.00410871	0.00308384	0.00453798	5.589754
36	-3794.011	-3940.233	146.2216	0.167235	0.396883	0.603117	0.832765	1.407344	0.424971	0.102562	0.0420923	0.046166	0.0793785	0.00927495	0.013637	0.0602422	0.072195	0.048449	0.0358728	0.103219	0.0173814	0.0421558	0.150953	0.267895	0.157969	0.0836965	0.114452	0.0168911	0.087985	0.227626	0.043869	0.0120198	0.00368183	0.0504162	0.0841266	0.0345393	0.0652383	0.0394411	0.0427714	0.0569067	0.0338063	0.0513467	0.111224	0.0192889	0.0444609	0.129189	0.0315385	0.0202208	0.00313952	0.00509381	0.0174736	0.00268762	0.00448106	0.0195857	0.0323017	0.269808	0.0585746	0.0557777	0.0106993	0.0245054	0.0734023	0.0401014	0.245185	0.269544	0.0375676	0.0740074	0.0526379	0.100719	0.0746844	0.0254895	0.0206732	0.255396	0.0212091	0.0245015	0.0562814	0.0073897	0.0120965	0.00240849	0.0545236	0.00101595	0.0249456	0.217088	0.0116187	0.0275079	0.0286619	0.0100213	0.15444	0.085727	0.0223758	0.0857419	0.06024	0.175596	0.0317603	0.0619448	0.0285947	0.02559	0.00772885	0.171769	0.283153	0.214946	0.330132	0.275689	0.533446	0.821973	1.21659	1.8746	3.62728	0.9316621	0.0697624	0.0168364	0.00690979	0.00757851	0.0130306	0.00152256	0.00223862	0.00988924	0.0118514	0.00795328	0.00588881	0.0169443	0.00285329	0.0069202	0.0247801	0.0439771	0.0259318	0.0137394	0.0187883	0.00277282	0.0144434	0.0373667	0.00720145	0.00197315	0.000604401	0.00827622	0.01381	0.0056699	0.0107094	0.00647456	0.00702127	0.00934169	0.00554957	0.00842897	0.0182582	0.00316643	0.00729861	0.0212074	0.00517729	0.00331941	0.000515376	0.000836189	0.00286844	0.000441194	0.000735602	0.00321515	0.00530258	0.0442911	0.00961548	0.00915635	0.00175637	0.00402275	0.0120496	0.00658296	0.040249	0.0442477	0.00616701	0.0121489	0.00864093	0.0165339	0.01226	0.00418431	0.00339367	0.0419253	0.00348164	0.00402211	0.00923903	0.00121308	0.00198574	0.000395373	0.00895047	0.000166776	0.00409502	0.0356367	0.00190729	0.00451564	0.00470508	0.00164507	0.0253526	0.0140728	0.00367316	0.0140752	0.00988887	0.0288254	0.00521371	0.0101687	0.00469404	0.00420081	0.00126875	6.091696
72	-3782.342	-3928.944	146.6015	0.189517	0.406709	0.593291	0.810483	1.68682	0.221898	0.0920892	0.0831184	0.0589306	0.068129	0.0173197	0.00900127	0.0307156	0.0433822	0.0767237	0.0413063	0.102549	0.0354224	0.0482336	0.0826909	0.0323696	0.107122	0.0649886	0.257738	0.0478854	0.0909771	0.102064	0.0633778	0.00443317	0.00965903	0.0324006	0.0779339	0.0271565	0.0935224	0.031853	0.0355964	0.0111091	0.103473	0.055948	0.078555	0.0307898	0.104746	0.159103	0.0268729	0.00324761	0.0154115	0.01216	0.0196637	0.00317235	0.00794873	0.025647	0.0287103	0.0572426	0.0790713	0.0111055	0.0161049	0.0212922	0.00285834	0.0868782	0.0472636	0.0780274	0.243845	0.117647	0.117712	0.0743898	0.0162879	0.20295	0.0232169	0.123151	0.296105	0.0373857	0.00307294	0.0308536	0.0468413	0.0622476	0.0417829	0.0814686	0.0162067	0.0275073	0.0170255	0.0114845	0.0758586	0.143822	0.0058344	0.0299404	0.175695	0.204033	0.0552456	0.145699	0.0844323	0.0423822	0.031645	0.0157828	0.0109063	0.124796	0.58672	0.0331432	0.25534	0.301253	0.557023	0.833138	1.20028	1.79526	3.31947	0.8675419	0.038328	0.0159064	0.0143569	0.010179	0.0117678	0.00299159	0.00155477	0.00530545	0.00749331	0.0132523	0.00713475	0.0177131	0.00611845	0.0083313	0.014283	0.00559113	0.0185031	0.0112253	0.0445186	0.00827116	0.0157143	0.0176294	0.0109471	0.000765733	0.00166839	0.0055965	0.0134614	0.00469069	0.0161539	0.00550191	0.00614849	0.00191886	0.0178727	0.00966379	0.0135686	0.00531826	0.0180926	0.0274816	0.00464171	0.000560953	0.00266199	0.00210038	0.00339647	0.000547955	0.00137297	0.00442995	0.00495907	0.00988741	0.0136578	0.00191823	0.00278177	0.00367776	0.000493715	0.0150063	0.00816375	0.0134775	0.0421188	0.0203209	0.0203322	0.0128492	0.00281338	0.0350552	0.0040102	0.0212716	0.0511456	0.00645756	0.000530783	0.00532928	0.00809081	0.0107519	0.00721708	0.0140719	0.00279936	0.00475127	0.00294078	0.0019837	0.0131029	0.024842	0.00100776	0.00517155	0.0303474	0.0352422	0.00954246	0.0251664	0.0145838	0.00732059	0.00546597	0.00272613	0.00188382	5.789448
108	-3791.619	-3939.379	147.7592	0.170591	0.398426	0.601574	0.829409	1.446026	0.230566	0.0502613	0.0608214	0.116233	0.00541034	0.0580206	0.0088791	0.057948	0.0574378	0.00749453	0.0398953	0.0919877	0.0408565	0.0424866	0.0795801	0.0336149	0.0868138	0.060022	0.220767	0.0393555	0.103665	0.0703023	0.0427979	0.00956543	0.00647225	0.0458474	0.0672594	0.0131623	0.103424	0.0134045	0.0198767	0.0176461	0.0652819	0.0600935	0.0708071	0.000567142	0.0853425	0.198019	0.0331642	0.0114362	0.00888102	0.01977	0.0107724	0.00779107	0.0153245	0.0316814	0.0554239	0.0699257	0.0747469	0.0022371	0.0319928	0.0113706	0.00661963	0.0675333	0.0605903	0.0741918	0.217435	0.102675	0.0637005	0.0472499	0.0600504	0.10188	0.000544049	0.101761	0.184394	0.0218751	0.00850898	0.0223092	0.0261706	0.0186397	0.0430973	0.0959995	0.0267454	0.0148959	0.0030399	0.0530092	0.0374316	0.211047	0.0070275	0.0616796	0.0573401	0.192389	0.0816957	0.123248	0.160819	0.011528	0.0560533	0.0160504	0.0166941	0.195012	0.370776	0.320512	0.113699	0.270828	0.528838	0.819751	1.21988	1.89094	3.69238	0.9445249	0.0441492	0.00962413	0.0116462	0.0222565	0.00103598	0.0111099	0.00170019	0.011096	0.0109983	0.00143507	0.00763924	0.017614	0.00782329	0.00813541	0.0152382	0.00643665	0.0166233	0.0114931	0.0422729	0.00753587	0.01985	0.0134616	0.00819503	0.00183161	0.00123932	0.00877894	0.012879	0.00252035	0.0198039	0.00256671	0.00380604	0.00337891	0.0125003	0.0115068	0.0135583	0.000108597	0.0163416	0.0379171	0.00635035	0.00218983	0.00170056	0.0037856	0.00206272	0.00149185	0.00293437	0.00606641	0.0106127	0.0133895	0.0143127	0.000428364	0.00612604	0.00217726	0.00126754	0.0129314	0.0116019	0.0142064	0.0416349	0.0196604	0.0121975	0.0090475	0.0114986	0.0195082	0.000104176	0.0194854	0.035308	0.0041887	0.00162932	0.0042718	0.00501121	0.00356916	0.00825235	0.0183822	0.00512126	0.00285229	0.000582087	0.0101503	0.00716748	0.0404117	0.00134564	0.0118105	0.0109796	0.0368391	0.0156433	0.0235998	0.0307939	0.00220741	0.0107332	0.00307336	0.00319661	5.222423
144	-3782.043	-3926.936	144.8927	0.183904	0.404322	0.595679	0.816095	1.611107	0.368792	0.124927	0.0366282	0.00150384	0.0567067	0.044417	0.0084102	0.062112	0.0815366	0.112286	0.0348634	0.154269	0.0724181	0.025019	0.13325	0.0306504	0.105454	0.114125	0.195472	0.0388599	0.141419	0.260963	0.0638213	0.0208695	0.000133776	0.0457199	0.0626637	0.0491094	0.0683485	0.0193778	0.0414107	0.0695541	0.062708	0.0627168	0.0672677	0.00118674	0.12452	0.195528	0.0235722	0.0200732	0.00758658	0.0256862	0.0508784	0.0144078	0.0189988	0.0230467	0.027609	0.052285	0.0531918	0.00774413	0.017096	0.0161818	0.0226111	0.105071	0.106008	0.12753	0.234576	0.0401368	0.0333742	0.0309829	0.0578496	0.109631	0.000805116	0.0673306	0.390896	0.0242102	0.0150483	0.0135624	0.0581509	0.0853464	0.151356	0.0860735	0.0127678	0.0110894	0.0212993	0.0198742	0.0913344	0.281088	0.0269483	0.0466265	0.0945197	0.203601	0.113537	0.0787003	0.288668	0.0279472	0.0535981	0.0108289	0.018196	0.0846667	0.510719	0.156539	0.248075	0.24962	0.508219	0.809643	1.23511	1.96765	4.0061	1.003487	0.0552203	0.0187058	0.00548446	0.000225174	0.00849087	0.0066507	0.00125929	0.00930022	0.0122087	0.0168129	0.00522021	0.0230992	0.0108434	0.00374616	0.0199519	0.00458938	0.01579	0.0170883	0.0292686	0.00581861	0.0211752	0.0390747	0.00955615	0.00312486	2.00307e-05	0.00684578	0.00938283	0.00735329	0.010234	0.00290149	0.00620054	0.0104145	0.00938947	0.00939077	0.0100722	0.000177694	0.0186448	0.029277	0.00352954	0.00300562	0.00113596	0.00384607	0.00761817	0.00215732	0.00284476	0.00345085	0.00413398	0.00782879	0.00796458	0.00115955	0.00255984	0.00242295	0.00338563	0.0157326	0.0158729	0.0190955	0.0351237	0.0060098	0.00499723	0.00463916	0.00866199	0.0164154	0.000120552	0.0100816	0.0585301	0.00362507	0.00225322	0.00203074	0.00870711	0.0127792	0.022663	0.0128881	0.00191176	0.00166045	0.0031892	0.00297582	0.0136758	0.0420882	0.00403506	0.00698152	0.0141527	0.0304859	0.0170003	0.011784	0.0432231	0.00418462	0.00802541	0.00162144	0.00272454	6.678552
180	-3787.244	-3930.954	143.7095	0.281359	0.43996	0.56004	0.718642	3.841022	0.182834	0.107452	0.0260317	0.000423412	0.0404634	0.0466956	0.0448878	0.0370566	0.0388215	0.0915198	0.0540763	0.0928997	0.0483333	0.0146234	0.17667	0.0937364	0.118215	0.0662434	0.139347	0.0442616	0.113869	0.0983468	0.073942	0.0050448	0.0033428	0.0575447	0.0750927	0.00341074	0.0962395	0.0332787	0.0358733	0.0271993	0.111948	0.0968865	0.0710365	0.0413616	0.109236	0.286826	0.0383286	0.0298261	0.0294103	0.0138256	0.0361045	0.00534559	0.0124524	0.0257006	0.0668326	0.100667	0.0273913	0.103624	0.0460697	0.0287174	0.00584068	0.148768	0.0808043	0.00957382	0.176072	0.00425324	0.0141781	0.0573456	0.0597428	0.13692	0.0378751	0.0226111	0.111613	0.0883546	0.00334811	0.221576	0.122061	0.0161255	0.244386	0.0366034	0.390323	0.22333	0.129587	0.014962	0.168398	0.0347856	0.189807	0.0279316	0.0169077	0.0113312	0.0237206	0.0475667	0.267271	0.044847	0.0347985	0.0206833	0.0429355	0.340188	0.00710093	0.0238454	0.628866	0.337762	0.588982	0.847766	1.17957	1.69784	2.96067	0.7848298	0.0274666	0.0161421	0.00391066	6.36078e-05	0.00607868	0.00701493	0.00674335	0.0055669	0.00583203	0.0137487	0.0081237	0.013956	0.00726096	0.00219683	0.0265406	0.0140817	0.017759	0.00995154	0.0209336	0.00664928	0.0171062	0.0147743	0.0111081	0.000757864	0.000502178	0.00864476	0.0112809	0.000512385	0.0144577	0.00499936	0.00538912	0.00408606	0.0168176	0.0145549	0.0106716	0.00621361	0.0164102	0.0430889	0.00575799	0.00448068	0.00441821	0.00207697	0.00542387	0.000803051	0.00187069	0.00386091	0.0100401	0.0151229	0.00411491	0.0155671	0.00692091	0.00431413	0.000877426	0.022349	0.012139	0.00143824	0.0264507	0.00063895	0.00212993	0.00861485	0.00897496	0.0205691	0.00568985	0.00339679	0.0167672	0.0132732	0.000502976	0.0332866	0.0183369	0.00242248	0.0367132	0.00549881	0.0586369	0.0335501	0.0194674	0.00224769	0.0252979	0.00522572	0.0285141	0.00419607	0.00253998	0.00170226	0.00356347	0.00714579	0.0401513	0.00673721	0.00522767	0.00310718	0.00645006	6.656604
216	-3787.59	-3933.402	145.8112	0.16543	0.396043	0.603956	0.834571	1.386989	0.0243059	0.11385	0.0261989	0.0093075	0.0482854	0.0243571	0.0163127	0.0325314	0.0766218	0.118885	0.0572962	0.160455	0.0235362	0.0581134	0.147883	0.0043726	0.135402	0.0815749	0.176315	0.0362984	0.147492	0.174854	0.0508642	0.00394863	0.00167024	0.0744053	0.084157	0.0541128	0.0573398	0.018382	0.047005	0.0333374	0.196067	0.0647111	0.0973377	0.00163033	0.0877991	0.21666	0.0127868	0.0312201	0.00719416	0.0141929	0.0206547	0.012736	0.0347819	0.0109632	0.167886	0.097929	0.00581235	0.12556	0.00841216	0.0123518	0.0237717	0.0863422	0.0416673	0.0154523	0.194518	0.00714894	0.0106197	0.0892827	0.0337745	0.0641115	0.00649345	0.0507342	0.0331671	0.0438185	0.0119305	0.102057	0.0595493	0.0445093	0.456628	0.057962	0.182561	0.25503	0.281805	0.00176176	0.0887019	0.0322458	0.126615	0.0205387	0.0566212	0.00708705	0.0538581	0.133197	0.15152	0.0130283	0.037468	0.0753367	0.0200713	0.148048	0.217831	0.429095	0.205026	0.270421	0.528451	0.819564	1.22016	1.89232	3.69793	0.9456109	0.00384761	0.0180224	0.00414728	0.00147337	0.00764355	0.00385571	0.00258229	0.0051497	0.0121292	0.0188194	0.00906995	0.0254	0.00372577	0.00919931	0.0234098	0.00069218	0.021434	0.0129133	0.0279105	0.00574602	0.0233479	0.0276793	0.00805177	0.000625066	0.000264398	0.0117783	0.013322	0.00856602	0.00907685	0.00290986	0.00744086	0.00527729	0.0310372	0.0102437	0.0154085	0.000258081	0.0138985	0.0342972	0.00202414	0.00494213	0.00113883	0.00224673	0.00326963	0.0020161	0.00550595	0.00173547	0.0265762	0.0155021	0.000920091	0.0198761	0.00133164	0.00195528	0.00376305	0.0136679	0.00659591	0.00244609	0.0307921	0.00113167	0.0016811	0.0141334	0.00534649	0.0101488	0.00102791	0.00803119	0.00525033	0.00693644	0.0018886	0.0161556	0.00942661	0.00704579	0.0722839	0.00917534	0.0288994	0.0403711	0.0446096	0.000278885	0.0140415	0.0051045	0.0200431	0.00325126	0.0089631	0.00112188	0.00852571	0.021085	0.0239856	0.00206238	0.00593116	0.0119258	0.00317728	6.317143
252	-3789.779	-3934.563	144.7833	0.226934	0.421399	0.578601	0.773066	2.311924	0.146753	0.0665232	0.0753793	0.0356835	0.0961442	0.0343399	0.0297981	0.0806463	0.0474744	0.017132	0.0831442	0.0830138	0.0705116	0.086375	0.115055	0.102855	0.140415	0.0944393	0.297228	0.0444557	0.11555	0.16466	0.0542887	0.00391762	0.00664139	0.0474217	0.11256	0.0302317	0.0543273	0.0211739	0.0552117	0.0188501	0.077469	0.0738794	0.088753	0.00856805	0.102172	0.197752	0.0176186	0.0207307	0.0148558	0.0156063	0.0471175	0.0122897	0.0101348	0.0265053	0.103913	0.251269	0.0232704	0.0101077	0.0306968	0.0340454	0.106631	0.0246422	0.163714	0.288735	0.0709907	0.0448809	0.00176232	0.141737	0.149685	0.130598	0.00235757	0.188507	0.0536544	0.0212534	0.0362029	0.100258	0.0764103	0.00513118	0.0057899	0.000738315	0.0291406	0.278187	0.0189504	0.0568325	0.0167289	0.053918	0.14874	0.0702908	0.0216951	0.0750875	0.155654	0.0963626	0.054996	0.132679	0.00276035	0.0764987	0.0234052	0.136626	0.5137	0.0363832	0.313291	0.302582	0.55822	0.833697	1.19948	1.79141	3.30489	0.8643596	0.0224924	0.0101958	0.0115532	0.00546911	0.0147357	0.00526318	0.00456707	0.0123604	0.00727626	0.00262576	0.0127433	0.0127233	0.0108071	0.0132384	0.0176341	0.0157643	0.0215209	0.0144744	0.0455552	0.00681359	0.01771	0.0252369	0.00832067	0.000600442	0.00101791	0.00726819	0.0172517	0.00463353	0.00832659	0.00324526	0.00846214	0.0028891	0.0118734	0.0113233	0.0136029	0.0013132	0.0156596	0.0303089	0.00270035	0.00317734	0.0022769	0.00239193	0.00722155	0.0018836	0.00155333	0.00406239	0.0159264	0.0385112	0.00356658	0.00154918	0.00470481	0.00521803	0.016343	0.00377683	0.025092	0.0442535	0.0108805	0.00687876	0.000270106	0.0217236	0.0229418	0.0200164	0.000361337	0.0288919	0.00822345	0.00325745	0.00554872	0.0153662	0.0117112	0.000786441	0.0008874	0.000113159	0.00446629	0.0426368	0.00290447	0.00871055	0.00256398	0.00826385	0.0227969	0.0107733	0.00332514	0.0115084	0.0238566	0.0147692	0.00842907	0.0203354	0.00042307	0.0117247	0.00358724	6.524561
288	-3790.936	-3937.312	146.3756	0.223807	0.420242	0.579758	0.776194	2.250051	0.185035	0.0994706	0.0515785	0.0891338	0.0713858	0.00690187	0.0313526	0.0156957	0.0327845	0.0698516	0.0606616	0.106025	0.0548055	0.0204849	0.054691	0.0714851	0.0755959	0.0679791	0.159514	0.0355864	0.0634017	0.159508	0.027748	0.00395774	0.0011238	0.0235086	0.0686037	0.0126638	0.0836897	0.0326796	0.0549876	0.0377733	0.0894817	0.0679345	0.0872403	0.0240095	0.103245	0.219534	0.0169561	0.0539004	0.0176333	0.0324693	0.0186239	0.00405961	0.0284049	0.0171841	0.107298	0.299321	0.0529898	0.0163243	0.0115243	0.0240257	0.0501154	0.0473158	0.292444	0.15537	0.038792	0.0539117	0.0127611	0.0975091	0.0796874	0.100333	0.0209451	0.0507078	0.0391406	0.0205884	0.0244693	0.0624631	0.0587065	0.0170328	0.00746141	0.0262666	0.00794986	0.226523	0.0131373	0.0308515	0.0346523	0.01342	0.0847337	0.0720015	0.0254233	0.0779044	0.168539	0.17692	0.045403	0.0699108	0.0046664	0.0846378	0.00497224	0.252168	0.0807453	0.549201	0.117885	0.259226	0.517666	0.814308	1.22804	1.93175	3.85764	0.9761824	0.0329273	0.017701	0.00917851	0.0158615	0.0127032	0.0012282	0.00557926	0.00279308	0.00583407	0.0124302	0.0107949	0.0188674	0.00975275	0.00364534	0.00973237	0.0127209	0.0134525	0.012097	0.0283858	0.00633267	0.0112825	0.0283848	0.00493782	0.000704287	0.000199983	0.00418341	0.0122082	0.00225354	0.0148928	0.00581541	0.00978515	0.00672183	0.0159235	0.0120891	0.0155246	0.00427253	0.0183726	0.0390666	0.00301737	0.00959169	0.00313787	0.00577799	0.00331416	0.000722416	0.00505472	0.00305795	0.0190939	0.0532647	0.00942964	0.00290494	0.00205077	0.00427543	0.00891814	0.00841995	0.0520411	0.0276484	0.00690312	0.00959371	0.00227087	0.0173519	0.0141805	0.0178544	0.00372722	0.00902355	0.00696515	0.00366376	0.00435436	0.0111154	0.0104469	0.00303103	0.00132777	0.00467419	0.00141469	0.0403103	0.00233781	0.00549008	0.00616645	0.00238812	0.0150785	0.0128128	0.00452413	0.0138632	0.0299918	0.0314834	0.00807956	0.0124408	0.000830396	0.0150615	0.000884821	5.61949
324	-3795.852	-3943.493	147.6412	0.217103	0.417724	0.582277	0.782897	2.124143	0.150409	0.0843362	0.065255	0.0226411	0.0602995	0.0134913	0.0156899	0.036862	0.0756846	0.0515159	0.00305074	0.0634291	0.0416798	0.0614271	0.0788661	0.0642739	0.0967157	0.0390601	0.097897	0.00351412	0.129428	0.116094	0.0621676	0.00356992	0.00206376	0.0391655	0.0488101	0.00761775	0.068206	0.0101633	0.0527316	0.0128767	0.0594935	0.0661862	0.0551535	0.0198184	0.0567579	0.306978	0.0176621	0.0121736	0.00866491	0.0154358	0.0208933	0.0200179	0.0256855	0.0207267	0.0730307	0.122804	0.0218281	0.0305801	0.0361369	0.0174343	0.0535521	0.160295	0.0485143	0.00665816	0.184281	0.00248234	0.00545558	0.0973289	0.0317445	0.0573052	0.0703214	0.016821	0.000994744	0.0276496	0.0186338	0.127789	0.101678	0.0125531	0.191168	0.0249965	0.20108	0.0444263	0.194087	0.0222662	0.122731	0.0425446	0.0775447	0.012951	0.014761	0.00182285	0.101511	0.071691	0.0338902	0.00321602	0.0146368	0.0416988	0.0230781	0.215284	0.193557	0.112802	0.478357	0.246746	0.505357	0.808217	1.23729	1.9788	4.05275	1.01186	0.0303819	0.0170355	0.0131812	0.00457339	0.0121802	0.00272517	0.00316929	0.00744594	0.0152879	0.010406	0.000616236	0.0128124	0.00841912	0.012408	0.0159306	0.012983	0.0195361	0.00788996	0.0197747	0.000709835	0.0261438	0.0234504	0.0125576	0.000721107	0.00041687	0.00791124	0.00985941	0.00153875	0.0137773	0.00205294	0.0106515	0.00260104	0.0120174	0.0133693	0.0111408	0.00400322	0.0114648	0.062008	0.00356765	0.00245901	0.00175027	0.00311797	0.00422035	0.00404351	0.00518835	0.0041867	0.0147519	0.0248058	0.00440916	0.00617703	0.00729949	0.00352164	0.0108173	0.0323787	0.00979966	0.00134492	0.0372239	0.000501421	0.001102	0.01966	0.00641224	0.0115754	0.0142046	0.00339777	0.000200934	0.00558508	0.00376395	0.0258128	0.0205385	0.00253566	0.038615	0.00504916	0.0406172	0.00897389	0.0392046	0.00449767	0.0247911	0.0085938	0.0156637	0.00261604	0.00298165	0.000368206	0.0205047	0.0144812	0.00684566	0.000649621	0.00295656	0.00842296	0.00466168	4.950611
