Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-3772.84	-3919.145	146.3045	2.275207	0.264095	0.264919	0.115753	0.355233	1.083765	5.589754
6	-3777.596	-3923.991	146.3952	2.489447	0.180213	0.430378	0.0597948	0.329615	0.9185186	5.550246
12	-3790.084	-3934.158	144.0739	2.362486	0.247455	0.250196	0.0771369	0.425212	0.8654032	6.888423
18	-3777.505	-3925.47	147.9648	2.149483	0.119055	0.456271	0.165796	0.258877	1.025488	4.752349
24	-3796.25	-3943.575	147.3253	1.50207	0.0614054	0.579639	0.140139	0.218816	0.8129386	5.507426
30	-3793.126	-3935.552	142.4258	3.95826	0.178833	0.174276	0.340054	0.306837	0.8727807	7.268623
36	-3794.011	-3940.233	146.2216	1.407344	0.171769	0.283153	0.214946	0.330132	0.9316621	6.091696
42	-3796.415	-3942.521	146.1058	2.273605	0.135497	0.206072	0.336822	0.32161	1.102339	5.689227
48	-3795.142	-3941.133	145.9906	1.684353	0.160293	0.182321	0.337049	0.320337	0.9654563	6.070644
54	-3801.009	-3944.835	143.8266	2.393437	0.0704922	0.323619	0.294994	0.310895	0.8886556	6.997734
60	-3792.677	-3937.916	145.2388	1.737931	0.0732863	0.311393	0.264164	0.351157	0.9388575	6.46995
66	-3801.714	-3945.397	143.6828	1.927274	0.0747253	0.376766	0.12363	0.424879	0.7582809	7.326019
72	-3782.342	-3928.944	146.6015	1.68682	0.124796	0.58672	0.0331432	0.25534	0.8675419	5.789448
78	-3789.415	-3933.898	144.4825	2.645265	0.198456	0.272216	0.207648	0.32168	0.7903717	6.606688
84	-3789.526	-3937.243	147.7168	1.448738	0.0821899	0.468861	0.144833	0.304116	0.8415013	5.301473
90	-3798.73	-3942.097	143.3667	2.138212	0.346056	0.0918552	0.291607	0.270481	0.8081508	7.384543
96	-3789.948	-3937.082	147.134	1.526799	0.148361	0.124552	0.446366	0.280722	0.9216304	5.541166
102	-3788.285	-3935.722	147.4366	1.576446	0.152069	0.433857	0.126336	0.287737	0.9903253	5.313405
108	-3791.619	-3939.379	147.7592	1.446026	0.195012	0.370776	0.320512	0.113699	0.9445249	5.222423
114	-3792.586	-3938.434	145.8482	1.953524	0.215755	0.188179	0.400269	0.195796	0.8679064	6.085779
120	-3797.264	-3943.305	146.041	1.56924	0.0769942	0.418267	0.318173	0.186566	0.9829604	6.085779
126	-3797.207	-3942.392	145.1852	2.410046	0.11796	0.301914	0.182509	0.397617	0.9991044	6.196736
132	-3785.874	-3932.046	146.1721	1.891075	0.160957	0.314393	0.232825	0.291824	0.9844873	5.871521
138	-3787.992	-3935.247	147.2546	1.75483	0.188535	0.277034	0.169963	0.364469	0.974951	5.341398
144	-3782.043	-3926.936	144.8927	1.611107	0.0846667	0.510719	0.156539	0.248075	1.003487	6.678552
150	-3778.28	-3922.114	143.8346	4.177037	0.29017	0.211245	0.0445842	0.454001	0.8442501	6.465688
156	-3782.275	-3926.724	144.4486	3.037649	0.396677	0.187271	0.0135758	0.402477	0.8419409	6.465688
162	-3795.214	-3941.001	145.7869	2.31842	0.324168	0.165924	0.269514	0.240394	0.9546778	5.927344
168	-3788.492	-3933.04	144.5482	1.843987	0.144407	0.355155	0.166445	0.333993	0.834208	6.854297
174	-3784.474	-3929.273	144.799	3.056784	0.410213	0.00856261	0.00908293	0.572141	0.8011306	6.291571
180	-3787.244	-3930.954	143.7095	3.841022	0.340188	0.00710093	0.0238454	0.628866	0.7848298	6.656604
186	-3794.218	-3938.692	144.4747	3.046273	0.319968	0.00139409	0.20552	0.473118	1.001012	6.362514
192	-3792.98	-3938.671	145.6914	3.751956	0.376768	0.0653817	0.194128	0.363722	0.9859304	5.492036
198	-3785.391	-3932.643	147.2519	2.599157	0.200717	0.264387	0.109987	0.42491	0.9736224	5.006667
204	-3779.211	-3926.991	147.7793	1.692371	0.147558	0.407327	0.179771	0.265343	0.9731095	5.080155
210	-3781.927	-3927.423	145.4962	1.830144	0.16504	0.32599	0.133417	0.375553	0.8687543	6.32858
216	-3787.59	-3933.402	145.8112	1.386989	0.148048	0.217831	0.429095	0.205026	0.9456109	6.317143
222	-3791.111	-3937.14	146.0297	1.560683	0.15094	0.222085	0.437476	0.189499	0.9487244	6.114562
228	-3793.752	-3938.105	144.3528	2.032151	0.0869468	0.422363	0.125677	0.365014	0.7617981	6.921232
234	-3784.398	-3930.043	145.6444	2.61266	0.358446	0.174743	0.0811621	0.385648	0.8715758	5.942731
240	-3791.146	-3935.953	144.8069	4.06612	0.359111	0.0817848	0.12186	0.437244	0.8881135	5.942731
246	-3793.318	-3937.194	143.8763	2.904872	0.34151	0.234543	0.167844	0.256104	0.8347194	6.822291
252	-3789.779	-3934.563	144.7833	2.311924	0.136626	0.5137	0.0363832	0.313291	0.8643596	6.524561
258	-3788.638	-3935.064	146.4267	1.650124	0.129059	0.486227	0.0347078	0.350007	0.9045001	5.881318
264	-3783.325	-3928.87	145.5454	2.680188	0.318952	0.224596	0.0722373	0.384215	0.9029919	5.955856
270	-3781.319	-3927.109	145.7895	3.375121	0.334346	0.109524	0.251331	0.3048	0.8760811	5.610133
276	-3787.244	-3933.994	146.7494	1.599935	0.323456	0.115828	0.294889	0.265827	0.7762033	5.797814
282	-3783.025	-3931.586	148.5613	2.16825	0.298684	0.0476571	0.38074	0.272918	1.130433	4.350715
288	-3790.936	-3937.312	146.3756	2.250051	0.252168	0.0807453	0.549201	0.117885	0.9761824	5.61949
294	-3787.753	-3933.268	145.515	1.508896	0.185361	0.187906	0.407635	0.219099	0.8711412	6.460285
300	-3801.207	-3947.066	145.8591	2.039527	0.263209	0.323318	0.0900291	0.323444	0.9528337	5.998278
306	-3790.939	-3937.502	146.5634	1.890235	0.244448	0.344686	0.140578	0.270288	0.9623616	5.66979
312	-3780.957	-3926.495	145.5376	1.970691	0.13431	0.354043	0.144394	0.367254	0.866527	6.248453
318	-3783.584	-3930.477	146.893	2.303505	0.22299	0.207374	0.288139	0.281497	1.082622	5.255344
324	-3795.852	-3943.493	147.6412	2.124143	0.215284	0.193557	0.112802	0.478357	1.01186	4.950611
330	-3794.366	-3941.57	147.2042	1.365508	0.147221	0.232162	0.504756	0.115861	0.9002034	5.592015
336	-3791.626	-3937.573	145.9469	1.365508	0.186092	0.191808	0.51446	0.10764	0.8622686	6.299167
342	-3799.911	-3946.09	146.1792	1.268934	0.180084	0.253786	0.507702	0.0584283	0.8530587	6.225705
348	-3796.573	-3941.035	144.4619	1.827907	0.143117	0.204387	0.573231	0.0792652	0.8399156	6.904553
354	-3796.926	-3942.918	145.9924	1.849341	0.224622	0.235937	0.339006	0.200435	0.9380909	6.012661
360	-3787.687	-3933.829	146.1424	1.622849	0.114615	0.18917	0.563872	0.132343	0.7932497	6.109389
366	-3782.673	-3928.67	145.9976	1.614376	0.189459	0.312699	0.212673	0.285168	0.9505663	6.106444
372	-3776.134	-3923.529	147.3949	1.303258	0.0952833	0.344179	0.356925	0.203612	1.029159	5.447262
378	-3776.107	-3921.254	145.1469	1.614044	0.115036	0.384125	0.258874	0.241964	0.9111801	6.589689
384	-3781.655	-3929.946	148.2914	1.382155	0.0848391	0.443275	0.235596	0.23629	1.00311	4.926087
390	-3786.961	-3935.448	148.4865	1.918998	0.256041	0.255992	0.195139	0.292828	1.138639	4.492659
396	-3798.021	-3945.848	147.8267	1.963912	0.294368	0.168434	0.0809281	0.456269	1.063024	4.88514
402	-3793.93	-3941.801	147.8705	1.930656	0.0808822	0.651328	0.0265812	0.241209	0.9810739	4.920492
408	-3798.936	-3945.556	146.6207	2.511	0.224396	0.366016	0.105159	0.304429	0.9428983	5.40487
414	-3792.442	-3938.064	145.6221	3.193293	0.291927	0.280477	0.194314	0.233283	0.9252786	5.731483
420	-3786.667	-3932.325	145.6585	4.028899	0.324244	0.150352	0.146765	0.378639	0.8852187	5.487796
426	-3795.027	-3940.924	145.8967	6.330736	0.33969	0.0420551	0.324586	0.29367	0.9617704	4.769148
432	-3785.657	-3932.48	146.8237	2.012973	0.230081	0.321533	0.154684	0.293702	0.8365734	5.544713
438	-3792.48	-3938.33	145.8503	2.201891	0.103884	0.320493	0.335145	0.240479	0.7858981	6.029586
444	-3785.677	-3931.727	146.05	1.352691	0.128771	0.31794	0.382063	0.171226	0.875697	6.242118
450	-3784.158	-3930.496	146.3377	1.688323	0.129784	0.279683	0.439911	0.150622	0.8459759	5.944743
