Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	tree_length
0	-3800.02	-3947.837	147.8167	0.26187	0.433617	0.566383	0.73813	3.17369	0.171917	0.058907	0.00176103	0.00300506	0.0258512	0.0520435	0.0249076	0.0182025	0.0467831	0.0671163	0.0392274	0.0258076	0.00875306	0.0462043	0.0973132	0.0803111	0.1185	0.0543496	0.205009	0.0130868	0.105346	0.0746013	0.0380226	0.000451816	0.00976946	0.0243089	0.048423	0.00707015	0.0531278	0.0272256	0.0488279	0.0168493	0.0440732	0.0504329	0.0444467	0.025871	0.0622855	0.14476	0.0260059	0.00204978	0.010723	0.00438599	0.0320088	0.00658218	0.0103261	0.013235	0.0114756	0.0344166	0.00807976	0.148364	0.00407178	0.0313665	0.0207761	0.0162276	0.00173169	0.0115206	0.0217236	0.0408019	0.0387195	0.0100258	0.0948739	0.0574043	0.0258669	0.0975311	0.0148179	0.167466	0.0631568	0.0288766	0.166899	0.00677296	0.0359391	0.0399865	0.0524922	0.0301611	0.0323463	0.00257999	0.047051	0.0634369	0.0480066	0.0285934	0.271563	0.332092	0.0290964	0.0248075	0.0548442	0.0187933	0.0868001	0.0395525	0.00282608	0.365573	0.0996111	0.193788	0.341027	0.235897	0.494396	0.802707	1.24578	2.02267	4.23913	1.044371	0.0385966	0.013225	0.000395364	0.000674658	0.00580377	0.0116841	0.00559193	0.00408659	0.0105031	0.0150681	0.00880682	0.005794	0.00196513	0.0103732	0.0218475	0.0180304	0.026604	0.0122019	0.0460261	0.00293808	0.023651	0.0167485	0.00853634	0.000101436	0.00219331	0.00545752	0.0108713	0.0015873	0.0119276	0.00611233	0.0109622	0.00378279	0.00989474	0.0113226	0.00997861	0.00580822	0.0139835	0.0324997	0.00583851	0.000460191	0.0024074	0.000984686	0.0071862	0.00147775	0.00231828	0.00297135	0.00257635	0.00772678	0.00181396	0.0333088	0.000914145	0.00704201	0.00466437	0.00364321	0.000388778	0.00258646	0.0048771	0.00916031	0.0086928	0.00225086	0.0212999	0.0128877	0.00580731	0.0218964	0.00332671	0.0375974	0.0141791	0.00648299	0.03747	0.00152058	0.00806858	0.00897725	0.0117849	0.00677137	0.00726196	0.000579227	0.0105633	0.014242	0.0107778	0.00641943	0.0609678	0.0745571	0.00653235	0.00556946	0.0123129	0.00421923	0.0194872	0.00887982	0.000634475	4.454202
36	-3788.837	-3933.831	144.9944	0.210407	0.41515	0.58485	0.789594	2.00678	0.180826	0.183882	0.00137389	0.0525237	0.104645	0.0267947	0.00579255	0.0801575	0.0371746	0.0835847	0.0670155	0.0823883	0.0308864	0.0697034	0.142574	0.0844439	0.161742	0.119436	0.234036	0.051098	0.133728	0.197191	0.0567768	0.00178924	0.00691605	0.0346301	0.0804884	0.0203537	0.0631076	0.0291005	0.0561937	0.0466179	0.0971606	0.0854384	0.0851168	0.0522558	0.0786022	0.185339	0.0406862	0.0194881	0.0132252	0.0354221	0.0365184	0.0217332	0.0223916	0.0249624	0.00626692	0.0448968	0.00192875	0.14452	0.0171146	0.0396922	0.0195494	0.058449	0.0189111	0.017396	0.102442	0.109914	0.0721608	0.0324199	0.255302	0.258585	0.0154399	0.0956523	0.0079231	0.308285	0.121781	0.0234108	0.159129	0.0170085	0.0097962	0.0350581	0.0783794	0.0255178	0.00824978	0.00287945	0.0572017	0.123918	0.0509442	0.0487789	0.226139	0.240209	0.0241931	0.0702876	0.0653074	0.0104813	0.127052	0.0588624	0.0129797	0.271551	0.096974	0.362568	0.268907	0.318591	0.572434	0.840262	1.1901	1.74693	3.13883	0.8270813	0.0276083	0.0280748	0.000209763	0.00801922	0.015977	0.00409097	0.000884396	0.0122383	0.00567576	0.0127616	0.0102318	0.0125789	0.00471568	0.0106422	0.0217679	0.0128927	0.0246945	0.0182353	0.0357321	0.00780155	0.0204173	0.0301068	0.00866857	0.000273177	0.00105593	0.00528726	0.0122888	0.00310756	0.00963515	0.00444301	0.00857955	0.00711754	0.0148343	0.0130446	0.0129955	0.00797831	0.0120008	0.0282973	0.0062119	0.00297541	0.00201919	0.00540818	0.00557556	0.00331819	0.00341872	0.00381122	0.000956822	0.00685477	0.000294478	0.022065	0.00261303	0.00606013	0.00298477	0.00892388	0.00288731	0.00265599	0.0156407	0.0167814	0.0110174	0.00494982	0.038979	0.0394802	0.00235733	0.014604	0.00120968	0.0470685	0.0185933	0.00357432	0.0242956	0.00259682	0.00149567	0.00535261	0.0119668	0.00389602	0.00125956	0.00043963	0.00873345	0.0189195	0.00777807	0.00744747	0.0345265	0.0366746	0.00369376	0.0107314	0.00997101	0.00160026	0.019398	0.008987	0.00198172	6.549724
72	-3797.533	-3943.983	146.4501	0.248763	0.429173	0.570827	0.751237	2.808698	0.155587	0.0444288	0.0678931	0.0207621	0.0649402	0.0116794	0.0215693	0.051798	0.0525611	0.0768375	0.0362325	0.12159	0.0420686	0.014167	0.0896961	0.0291906	0.0964008	0.0577142	0.145934	0.0730526	0.0630013	0.124609	0.0384707	0.00639027	0.0176604	0.0708959	0.106823	0.0521918	0.0464006	0.017964	0.0368836	0.00282469	0.0814181	0.0831567	0.0464669	0.0161434	0.0467637	0.239457	0.01736	0.0106083	0.0188897	0.0254167	0.0325126	0.00871421	0.0157375	0.022492	0.0470958	0.0100643	0.0280042	0.242319	0.0197267	0.051564	0.0530039	0.0518275	0.0331905	0.0339623	0.0781057	0.00392109	0.0259586	0.00613316	0.118244	0.0721322	0.0156686	0.111386	0.0387085	0.235048	0.038625	0.00280534	0.100984	0.0180393	0.0495708	0.0401776	0.0421453	0.0362218	0.0443307	0.00241122	0.0483431	0.0874993	0.039323	0.016725	0.210147	0.438852	0.045734	0.102975	0.0233603	0.0483429	0.0226375	0.0320415	0.0115792	0.263571	0.144742	0.337536	0.254151	0.215982	0.473581	0.792007	1.26262	2.11157	4.63001	1.108146	0.0293434	0.00837918	0.0128045	0.00391569	0.0122476	0.00220272	0.00406792	0.00976899	0.0099129	0.0144914	0.00683338	0.0229316	0.00793405	0.00267186	0.0169165	0.00550528	0.018181	0.0108848	0.0275228	0.0137776	0.0118819	0.0235009	0.00725549	0.00120519	0.00333072	0.0133708	0.0201466	0.00984326	0.00875105	0.00338797	0.00695617	0.00053273	0.0153553	0.0156832	0.00876355	0.00304461	0.00881953	0.0451611	0.00327405	0.0020007	0.00356256	0.00479352	0.00613181	0.00164348	0.00296806	0.00424194	0.00888216	0.00189811	0.00528152	0.0457008	0.00372041	0.00972486	0.00999643	0.00977454	0.00625965	0.00640521	0.0147306	0.000739508	0.00489573	0.0011567	0.0223005	0.013604	0.00295507	0.0210072	0.00730034	0.0443296	0.00728459	0.000529081	0.0190453	0.00340217	0.00934894	0.00757741	0.0079485	0.00683134	0.00836066	0.00045475	0.0091174	0.0165022	0.00741623	0.00315429	0.0396333	0.0827666	0.00862532	0.0194209	0.0044057	0.00911736	0.00426937	0.00604296	0.00218382	5.30229
108	-3778.267	-3924.932	146.6649	0.17557	0.400671	0.59933	0.82443	1.50551	0.338324	0.0500898	0.0417469	0.0452044	0.0629459	0.0118852	0.0407484	0.0522212	0.0885912	0.0582977	0.0214286	0.0798937	0.0412691	0.0263502	0.105484	0.0564733	0.14459	0.0785821	0.120623	0.0344243	0.161359	0.119899	0.0522588	0.00508853	0.00921302	0.0502719	0.0874988	0.0303447	0.0654962	0.0345496	0.0794198	0.00552587	0.0856396	0.046697	0.0711342	0.00958326	0.0725738	0.260999	0.0464942	0.00513227	0.0271136	0.0193697	0.0572933	0.00806103	0.00871514	0.0191962	0.0417124	0.006548	0.0458725	0.0530646	0.0159804	0.048015	0.00448187	0.0552478	0.11008	0.0229729	0.158525	0.117273	0.105006	0.064011	0.127692	0.0634119	0.0167443	0.118057	0.0576901	0.150722	0.0295043	0.000222804	0.175741	0.0223392	0.0435553	0.0296889	0.094858	0.0254433	0.0658721	0.000508748	0.033759	0.0569165	0.0303204	0.0136258	0.261465	0.374849	0.0373507	0.0656913	0.0281385	0.0226742	0.0395833	0.0398242	0.0142216	0.244411	0.0945454	0.434445	0.226598	0.293265	0.549771	0.829739	1.2052	1.81894	3.40988	0.886973	0.0580579	0.00859562	0.00716395	0.00775727	0.0108018	0.00203954	0.0069926	0.00896138	0.0152026	0.0100041	0.00367724	0.0137101	0.00708195	0.00452181	0.0181014	0.00969107	0.0248122	0.013485	0.0206994	0.00590735	0.0276899	0.0205751	0.00896783	0.000873213	0.00158099	0.00862687	0.0150152	0.00520728	0.0112394	0.00592887	0.0136288	0.000948262	0.0146961	0.00801341	0.0122069	0.00164453	0.012454	0.0447885	0.0079786	0.000880719	0.0046528	0.00332392	0.00983177	0.00138331	0.00149556	0.00329415	0.00715803	0.00112366	0.00787192	0.00910612	0.0027423	0.00823958	0.000769107	0.00948076	0.0188902	0.00394224	0.0272037	0.0201246	0.0180195	0.0109846	0.0219126	0.0108818	0.0028734	0.0202591	0.00989986	0.0258645	0.00506306	3.8234e-05	0.0301579	0.00383349	0.00747427	0.00509474	0.016278	0.00436617	0.0113039	8.73034e-05	0.00579319	0.00976712	0.00520311	0.00233824	0.0448685	0.0643256	0.00640954	0.0112729	0.00482868	0.00389098	0.00679266	0.00683401	0.00244048	5.827361
144	-3787.292	-3934.666	147.374	0.248267	0.429001	0.570998	0.751733	2.795981	0.236829	0.0759726	0.0424182	0.00476602	0.0423153	0.046189	0.0256596	0.0353528	0.0420765	0.036134	0.0297459	0.145433	0.0392797	0.0287759	0.0828867	0.0975805	0.110803	0.0405785	0.103444	0.0279872	0.100454	0.101906	0.0666013	0.00283316	0.00369748	0.0153154	0.0537768	0.0173007	0.0543761	0.0206083	0.0326818	0.00634231	0.0508567	0.0620008	0.0344092	0.0376386	0.0391158	0.215437	0.036544	0.00269937	0.00660639	0.00955354	0.0129859	0.00121512	0.0082851	0.022273	0.0399698	0.0312879	0.019879	0.0579008	0.0221892	0.0421313	0.00244658	0.0835882	0.0815127	0.022247	0.105286	0.0251284	0.0329022	0.0328235	0.0234726	0.159723	0.0120842	0.0617981	0.0898241	0.267635	0.0138986	0.0172937	0.0893628	0.040204	0.00201554	0.0423937	0.0477192	0.0474426	0.138839	0.0022567	0.0381424	0.0573385	0.0533592	0.0293259	0.21512	0.337141	0.0192261	0.0186515	0.0231959	0.00751236	0.0296683	0.00492773	0.0223253	0.316676	0.053821	0.521073	0.10843	0.230958	0.48932	0.800127	1.2498	2.04365	4.3298	1.059673	0.0491252	0.0157589	0.00879875	0.00098861	0.00877742	0.00958094	0.00532254	0.00733319	0.00872789	0.00749524	0.00617016	0.030167	0.00814774	0.00596895	0.0171931	0.020241	0.0229838	0.00841715	0.0214573	0.00580535	0.020837	0.0211381	0.013815	0.00058768	0.000766964	0.00317685	0.0111549	0.00358867	0.0112792	0.00427475	0.00677915	0.00131558	0.0105491	0.0128608	0.00713746	0.00780734	0.00811374	0.0446879	0.00758028	0.000559927	0.00137036	0.00198168	0.00269366	0.00025205	0.00171857	0.00462007	0.00829088	0.00649002	0.00412348	0.0120103	0.00460268	0.00873924	0.000507491	0.0173386	0.0169081	0.00461467	0.0218393	0.00521235	0.00682487	0.00680854	0.00486889	0.0331312	0.00250662	0.0128187	0.0186321	0.0555152	0.00288297	0.00358721	0.0185364	0.00833948	0.000418082	0.00879367	0.00989834	0.00984096	0.0287991	0.000468104	0.00791183	0.0118937	0.0110682	0.00608303	0.044622	0.0699328	0.00398806	0.00386885	0.0048115	0.00155828	0.00615406	0.00102215	0.00463091	4.820931
180	-3794.604	-3939.237	144.6335	0.21989	0.418777	0.581222	0.78011	2.17542	0.2171	0.133803	0.0691569	0.0516776	0.015513	0.0923234	0.0275808	0.0207612	0.0546679	0.0256662	0.0302341	0.196413	0.0482367	0.0667899	0.11133	0.114835	0.147857	0.0746941	0.175982	0.0460179	0.127013	0.150964	0.0531915	0.00297152	0.00192911	0.117846	0.0623549	0.0102793	0.075498	0.0218953	0.0508434	0.0391189	0.0660063	0.0676381	0.087582	0.0257805	0.10794	0.247582	0.0239318	0.0752854	0.0222597	0.0118946	0.00739465	0.00090842	0.0353643	0.018199	0.0317544	0.0407909	0.0394957	0.0407936	0.0298691	0.0799103	0.0692017	0.0291467	0.0380478	0.0538318	0.00689993	0.052796	0.12886	0.023378	0.0693507	0.257505	0.0142516	0.0182443	0.1751	0.329966	0.175668	0.150838	0.0400537	0.013916	0.00292289	0.122656	0.00147674	0.420027	0.0649446	0.0534346	0.00591683	0.132784	0.0681956	0.00435218	0.0322734	0.113115	0.103167	0.0737016	0.079966	0.00719098	0.195256	0.056889	0.0237168	0.173181	0.249237	0.184468	0.393114	0.340528	0.59133	0.848819	1.17811	1.6911	2.93661	0.7789313	0.0323838	0.0199587	0.0103158	0.00770851	0.002314	0.0137715	0.0041141	0.00309686	0.00815456	0.00382851	0.00450989	0.0292981	0.00719525	0.00996274	0.0166066	0.0171294	0.0220552	0.0111418	0.0262504	0.00686427	0.0189459	0.0225187	0.00793433	0.000443248	0.000287756	0.0175786	0.00930119	0.00153332	0.0112617	0.00326602	0.00758407	0.00583518	0.00984585	0.0100893	0.0130642	0.00384556	0.0161009	0.0369307	0.00356979	0.01123	0.00332038	0.00177426	0.00110303	0.000135505	0.00527512	0.00271466	0.00473666	0.00608459	0.00589139	0.00608499	0.00445543	0.0119199	0.0103225	0.00434768	0.00567542	0.00802984	0.00102923	0.00787533	0.0192215	0.00348719	0.0103447	0.0384109	0.00212584	0.00272141	0.0261189	0.0492195	0.0262035	0.0224998	0.00597462	0.00207578	0.000435993	0.0182961	0.000220279	0.0626535	0.00968748	0.00797059	0.000882587	0.0198068	0.0101724	0.000649195	0.00481407	0.0168729	0.0153889	0.0109937	0.0119282	0.00107265	0.0291255	0.00848587	0.00353772	6.703969
216	-3795.37	-3940.756	145.386	0.18702	0.405653	0.594346	0.81298	1.652656	0.347682	0.140436	0.0147041	0.0404054	0.0488608	0.0388597	0.0307193	0.055214	0.0728567	0.0840063	0.0435583	0.166091	0.0638721	0.10224	0.145753	0.187391	0.121305	0.057066	0.241865	0.0524518	0.090446	0.155475	0.0432518	0.00605827	0.0109504	0.0453597	0.102938	0.0367095	0.0520422	0.0493242	0.0575788	0.0445837	0.102756	0.0238481	0.0907526	0.0133156	0.0835537	0.150107	0.0572754	0.00416524	0.0120881	0.0337393	0.0665247	0.00474566	0.0786976	0.0138317	0.176998	0.0255362	0.0484613	0.12967	0.0282005	0.0771478	0.0755067	0.100021	0.0322462	0.0338517	0.00677747	0.052931	0.0960261	0.0184532	0.0516447	0.1124	0.0126876	0.00960968	0.199828	0.226082	0.229149	0.0355107	0.0324416	0.0187475	0.0246527	0.0346109	0.000898914	0.468288	0.0256648	0.0245212	0.0032147	0.025543	0.0530894	0.0445922	0.0402519	0.0232309	0.0590396	0.0642272	0.0475911	0.0906169	0.117019	0.0694875	0.014322	0.186697	0.303355	0.110542	0.399406	0.36929	0.615183	0.859356	1.16366	1.62553	2.7079	0.7203015	0.0531116	0.0214529	0.00224619	0.0061723	0.00746394	0.00593617	0.00469266	0.00843444	0.0111295	0.0128327	0.00665394	0.0253719	0.00975705	0.0156181	0.0222652	0.0286258	0.0185305	0.00871736	0.0369472	0.0080125	0.0138165	0.0237503	0.00660711	0.000925456	0.00167278	0.00692911	0.0157248	0.00560771	0.00794993	0.00753473	0.0087957	0.00681057	0.0156969	0.00364303	0.0138633	0.00203408	0.0127636	0.0229303	0.00874934	0.000636279	0.00184657	0.00515399	0.0101623	0.000724943	0.0120218	0.00211291	0.0270381	0.00390089	0.00740291	0.0198083	0.00430788	0.011785	0.0115344	0.0152791	0.0049259	0.00517116	0.00103532	0.00808569	0.0146689	0.0028189	0.00788921	0.0171701	0.00193814	0.00146797	0.0305256	0.0345361	0.0350047	0.00542458	0.00495576	0.00286386	0.00376593	0.00528714	0.000137317	0.0715354	0.00392054	0.00374584	0.000491076	0.00390193	0.00810989	0.00681186	0.00614885	0.00354873	0.00901885	0.0098113	0.00726999	0.0138426	0.0178757	0.0106149	0.00218782	6.546248
252	-3794.38	-3941.251	146.8706	0.220506	0.419009	0.580991	0.779494	2.186957	0.198378	0.14264	0.0203625	0.0494035	0.0294602	0.052526	0.00746545	0.0313287	0.0499228	0.0763788	0.0216133	0.0962101	0.0258991	0.0200674	0.141913	0.0382579	0.108415	0.0859362	0.205228	0.0330724	0.0865897	0.139295	0.0537446	0.00190528	0.00384491	0.0835651	0.0939919	0.0189223	0.0296655	0.0408004	0.0348187	0.0463794	0.0225577	0.0493277	0.0518417	0.00835211	0.0541601	0.300384	0.0183529	0.0272516	0.0137285	0.0239054	0.0287006	0.0049922	0.0507716	0.00792469	0.164014	0.0998638	0.0977658	0.154357	0.0316009	0.0276379	0.0164311	0.103499	0.0325595	0.0206529	0.00090308	0.015349	0.1121	0.0368421	0.0352368	0.085212	0.00265327	0.00736688	0.110186	0.261094	0.0166679	0.0202732	0.0357138	0.00249638	0.0279316	0.0565746	0.000516391	0.365934	0.0314065	0.0177772	0.0121184	0.204718	0.0319064	0.0370582	0.0216881	0.0498165	0.0137757	0.0281079	0.0265273	0.0584635	0.132795	0.0545718	0.023241	0.265141	0.133777	0.411573	0.189509	0.289292	0.546125	0.828018	1.2077	1.83108	3.45672	0.8968361	0.0366305	0.0263384	0.00375993	0.00912235	0.00543982	0.00969892	0.00137849	0.00578483	0.00921824	0.0141033	0.00399089	0.0177652	0.00478227	0.00370545	0.0262043	0.00706431	0.0200188	0.0158681	0.0378953	0.00610682	0.0159888	0.0257207	0.00992394	0.000351809	0.000709962	0.0154303	0.0173556	0.003494	0.00547772	0.00753378	0.00642926	0.00856395	0.00416527	0.00910835	0.00957255	0.00154221	0.0100007	0.0554659	0.00338886	0.00503201	0.00253497	0.00441413	0.00529955	0.000921808	0.00937496	0.00146329	0.0302852	0.0184398	0.0180524	0.028502	0.0058351	0.00510333	0.003034	0.0191111	0.00601211	0.00381355	0.000166753	0.00283419	0.0206992	0.00680288	0.00650647	0.0157344	0.000489925	0.00136029	0.0203458	0.0482109	0.00307772	0.00374345	0.00659455	0.000460956	0.00515757	0.0104465	9.53515e-05	0.0675696	0.0057992	0.00328255	0.00223765	0.0378011	0.00589152	0.00684279	0.0040047	0.0091986	0.00254367	0.00519011	0.00489826	0.0107953	0.0245207	0.0100767	0.00429144	5.415657
288	-3791.605	-3939.868	148.2633	0.226842	0.421365	0.578635	0.773158	2.310072	0.20629	0.0453217	0.104119	0.0585203	0.0333206	0.0739461	0.0152031	0.0346402	0.0732302	0.111009	0.0388216	0.0530601	0.0327704	0.0289828	0.110859	0.0799594	0.125658	0.0758519	0.100707	0.0274684	0.112514	0.109161	0.0535811	0.00359932	0.00455641	0.0376544	0.0682609	0.0398069	0.0539573	0.0125417	0.0373691	0.037707	0.075882	0.054899	0.066019	0.015498	0.0811387	0.0797016	0.0251656	0.0127579	0.0117223	0.00860199	0.0129137	0.0063477	0.011179	0.0328254	0.064373	0.00925941	0.0226164	0.0769021	0.019163	0.0170428	0.00350621	0.0462869	0.0841522	0.014884	0.0248196	0.0580716	0.0444982	0.0427667	0.106159	0.0475184	0.0176244	0.133084	0.0211035	0.0926557	0.00591868	0.0288563	0.0539352	0.0385929	0.0206009	0.0266511	0.000983424	0.0634943	0.0254489	0.0792688	0.0656957	0.0174215	0.0723545	0.0298405	0.167316	0.216906	0.022208	0.0219866	0.0237408	0.00720012	0.0507949	0.0170527	0.020598	0.167888	0.291425	0.300479	0.240208	0.240465	0.499043	0.805053	1.24215	2.00384	4.1586	1.030502	0.0456551	0.0100304	0.0230431	0.0129514	0.00737434	0.0163654	0.00336466	0.0076664	0.0162069	0.0245679	0.0085918	0.011743	0.00725258	0.00641433	0.0245348	0.0176962	0.02781	0.0167872	0.0222878	0.00607917	0.024901	0.0241589	0.0118583	0.000796582	0.0010084	0.00833348	0.0151071	0.00880986	0.0119415	0.00277566	0.00827033	0.00834511	0.0167938	0.01215	0.014611	0.00342993	0.0179572	0.0176391	0.00556953	0.00282352	0.00259431	0.00190375	0.00285798	0.00140484	0.00247407	0.00726475	0.0142467	0.00204924	0.00500535	0.0170196	0.00424106	0.00377182	0.000775975	0.010244	0.0186241	0.00329405	0.00549294	0.0128521	0.00984811	0.0094649	0.0234945	0.0105165	0.00390055	0.0294535	0.00467051	0.0205061	0.00130989	0.00638631	0.0119366	0.00854118	0.00455928	0.00589829	0.000217646	0.0140522	0.00563222	0.0175433	0.0145394	0.00385563	0.0160131	0.00660415	0.0370294	0.0480045	0.00491495	0.00486596	0.00525419	0.00159349	0.0112417	0.00377401	0.00455864	4.518451
324	-3806.11	-3952.07	145.9598	0.198899	0.410582	0.589417	0.801102	1.822579	0.223916	0.00872947	0.0802134	0.0353211	0.0741685	0.019212	0.0223089	0.033186	0.0649473	0.00889424	0.0249456	0.145981	0.0489111	0.101641	0.109517	0.138524	0.12259	0.0891065	0.210598	0.0202816	0.082333	0.117498	0.0407751	0.00651787	0.0141838	0.115454	0.122922	0.0416148	0.023341	0.0382609	0.0782165	0.0213788	0.067557	0.0419841	0.0366691	0.0172314	0.0326562	0.214756	0.0258102	0.00559817	0.0216139	0.00217909	0.00690078	0.0310096	0.0136868	0.0511593	0.0752799	0.000919905	0.0117889	0.165962	0.00671787	0.027273	0.0182082	0.0814276	0.0614966	0.020408	0.0148631	0.0776494	0.0337252	0.00876725	0.104654	0.121306	0.0266251	0.113911	0.114191	0.269379	0.000792858	0.00962766	0.170195	0.0139415	0.0424576	0.0556725	0.0058843	0.0713442	0.0458635	0.0618671	0.0345626	0.0167092	0.085918	0.027228	0.624164	0.254791	0.16738	0.0625561	0.00809286	0.00893029	0.0334367	0.0338625	0.0133534	0.233176	0.365444	0.122894	0.278486	0.284257	0.541469	0.825809	1.21093	1.84683	3.51794	0.9095312	0.0369652	0.0014411	0.013242	0.00583098	0.0122441	0.00317162	0.00368287	0.00547851	0.0107218	0.00146831	0.00411815	0.0240992	0.0080745	0.0167794	0.0180796	0.0228683	0.0202377	0.0147101	0.0347666	0.00334819	0.0135919	0.0193972	0.00673135	0.001076	0.00234154	0.0190596	0.0202925	0.00686998	0.00385324	0.0063163	0.0129124	0.00352932	0.0111526	0.00693094	0.00605351	0.00284464	0.00539104	0.0354531	0.00426087	0.000924175	0.00356813	0.000359734	0.00113922	0.00511923	0.00225949	0.00844564	0.0124276	0.000151863	0.00194617	0.0273978	0.00110902	0.00450237	0.00300589	0.0134425	0.0101522	0.00336906	0.00245368	0.0128187	0.00556753	0.00144734	0.0172767	0.0200257	0.0043954	0.018805	0.0188513	0.0444705	0.000130889	0.00158938	0.0280967	0.00230153	0.00700912	0.00919069	0.000971409	0.0117779	0.00757137	0.0102133	0.00570577	0.00275843	0.0141838	0.00449493	0.10304	0.0420622	0.0276319	0.0103271	0.00133601	0.00147426	0.00551989	0.00559019	0.00220444	6.057484
